866	16751597673116166984.wav	చల్లని వాతావరణాల్లో శ్వాస సంబంధిత సమస్యలు వలె, వేడి వాతావరణాల్లో ప్రేగు ల సమస్యలు చాలా సాధారణంగా ఉంటాయి మరియు చాలా సందర్భాల్లో ఇది చాలా వరకు ఆందోళన కలిగించేది కానీ నిజంగా ప్రమాదకరం కాదు.	చల్లని వాతావరణాల్లో శ్వాస సంబంధిత సమస్యలు వలె వేడి వాతావరణాల్లో ప్రేగు ల సమస్యలు చాలా సాధారణంగా ఉంటాయి మరియు చాలా సందర్భాల్లో ఇది చాలా వరకు ఆందోళన కలిగించేది కానీ నిజంగా ప్రమాదకరం కాదు	చ ల ్ ల న ి | వ ా త ా వ ర ణ ా ల ్ ల ో | శ ్ వ ా స | స ం బ ం ధ ి త | స మ స ్ య ల ు | వ ల ె | వ ే డ ి | వ ా త ా వ ర ణ ా ల ్ ల ో | ప ్ ర ే గ ు | ల | స మ స ్ య ల ు | చ ా ల ా | స ా ధ ా ర ణ ం గ ా | ఉ ం ట ా య ి | మ ర ి య ు | చ ా ల ా | స ం ద ర ్ భ ా ల ్ ల ో | ఇ ద ి | చ ా ల ా | వ ర క ు | ఆ ం ద ో ళ న | క ల ి గ ి ం చ ే ద ి | క ా న ీ | న ి జ ం గ ా | ప ్ ర మ ా ద క ర ం | క ా ద ు |	253440	MALE
1244	13086014754082864911.wav	వాటికన్ సిటీ పౌరులు అందరూ రోమన్ కాథలిక్‌లు.	వాటికన్ సిటీ పౌరులు అందరూ రోమన్ కాథలిక్లు	వ ా ట ి క న ్ | స ి ట ీ | ప ౌ ర ు ల ు | అ ం ద ర ూ | ర ో మ న ్ | క ా థ ల ి క ్ ల ు |	101760	FEMALE
1431	14464725489867066022.wav	ఇంతకు ముందు ఎన్నడూ చూడని విధంగా  మెదడు నిర్మాణాలు మరియు ప్రక్రియలను చూడటానికి ఇంక పరిశోధించడానికి కొత్త సాంకేతికతల వీలు కల్పిస్తాయి.	ఇంతకు ముందు ఎన్నడూ చూడని విధంగా మెదడు నిర్మాణాలు మరియు ప్రక్రియలను చూడటానికి ఇంక పరిశోధించడానికి కొత్త సాంకేతికతల వీలు కల్పిస్తాయి	ఇ ం త క ు | మ ు ం ద ు | ఎ న ్ న డ ూ | చ ూ డ న ి | వ ి ధ ం గ ా | మ ె ద డ ు | న ి ర ్ మ ా ణ ా ల ు | మ ర ి య ు | ప ్ ర క ్ ర ి య ల న ు | చ ూ డ ట ా న ి క ి | ఇ ం క | ప ర ి శ ో ధ ి ం చ డ ా న ి క ి | క ొ త ్ త | స ా ం క ే త ి క త ల | వ ీ ల ు | క ల ్ ప ి స ్ త ా య ి |	190080	FEMALE
843	1057018260503788192.wav	ఒక విషయం ఏమిటంటే, ఉత్తర న్యూ మెక్సికోలో తాగి డ్రైవింగ్‌ సమస్యలు గణనీయంగా ఉన్నాయి, మరియు చిన్న-పట్టణ బార్‌లకు దగ్గరలో ఉన్న డ్రైవర్లలో మత్తు ఎక్కువగా ఉంటుంది.	ఒక విషయం ఏమిటంటే ఉత్తర న్యూ మెక్సికోలో తాగి డ్రైవింగ్ సమస్యలు గణనీయంగా ఉన్నాయి మరియు చిన్న-పట్టణ బార్లకు దగ్గరలో ఉన్న డ్రైవర్లలో మత్తు ఎక్కువగా ఉంటుంది	ఒ క | వ ి ష య ం | ఏ మ ి ట ం ట ే | ఉ త ్ త ర | న ్ య ూ | మ ె క ్ స ి క ో ల ో | త ా గ ి | డ ్ ర ై వ ి ం గ ్ | స మ స ్ య ల ు | గ ణ న ీ య ం గ ా | ఉ న ్ న ా య ి | మ ర ి య ు | చ ి న ్ న - ప ట ్ ట ణ | బ ా ర ్ ల క ు | ద గ ్ గ ర ల ో | ఉ న ్ న | డ ్ ర ై వ ర ్ ల ల ో | మ త ్ త ు | ఎ క ్ క ు వ గ ా | ఉ ం ట ు ం ద ి |	255360	FEMALE
33	15519568632941226638.wav	అలోన్సో ముందున్న కార్లు సేఫ్టీ కారు కింద ఇంధనం కోసం వెళ్తోంటే, అతను విజయం కోసం ప్యాక్ పైకి వెళ్లాడు.	అలోన్సో ముందున్న కార్లు సేఫ్టీ కారు కింద ఇంధనం కోసం వెళ్తోంటే అతను విజయం కోసం ప్యాక్ పైకి వెళ్లాడు	అ ల ో న ్ స ో | మ ు ం ద ు న ్ న | క ా ర ్ ల ు | స ే ఫ ్ ట ీ | క ా ర ు | క ి ం ద | ఇ ం ధ న ం | క ో స ం | వ ె ళ ్ త ో ం ట ే | అ త న ు | వ ి జ య ం | క ో స ం | ప ్ య ా క ్ | ప ై క ి | వ ె ళ ్ ల ా డ ు |	214080	FEMALE
1505	14752365951671891176.wav	2001 సెప్టెంబరు 11 అనంతర కాలంలో భద్రతా తనిఖీ కేంద్రాల వద్ద శోధనలు కూడా చాలా ఎక్కువ లోతుగా తయారయ్యాయి.	2001 సెప్టెంబరు 11 అనంతర కాలంలో భద్రతా తనిఖీ కేంద్రాల వద్ద శోధనలు కూడా చాలా ఎక్కువ లోతుగా తయారయ్యాయి	2 0 0 1 | స ె ప ్ ట ె ం బ ర ు | 1 1 | అ న ం త ర | క ా ల ం ల ో | భ ద ్ ర త ా | త న ి ఖ ీ | క ే ం ద ్ ర ా ల | వ ద ్ ద | శ ో ధ న ల ు | క ూ డ ా | చ ా ల ా | ఎ క ్ క ు వ | ల ో త ు గ ా | త య ా ర య ్ య ా య ి |	176640	FEMALE
280	17357256892569242771.wav	విజేతకు రాష్ట్రంలోని అన్నీ వెళ్తాయి కనుక, ఫ్లోరిడా తన యాభై మంది ప్రతినిధులను రోమ్నీకి ప్రదానం చేసింది, రిపబ్లికన్ పార్టీ నామినేషన్​కు ఫ్రంట్ రన్నర్​గా అతనిని ముందుకు నెట్టింది.	విజేతకు రాష్ట్రంలోని అన్నీ వెళ్తాయి కనుక ఫ్లోరిడా తన యాభై మంది ప్రతినిధులను రోమ్నీకి ప్రదానం చేసింది రిపబ్లికన్ పార్టీ నామినేషన్కు ఫ్రంట్ రన్నర్గా అతనిని ముందుకు నెట్టింది	వ ి జ ే త క ు | ర ా ష ్ ట ్ ర ం ల ో న ి | అ న ్ న ీ | వ ె ళ ్ త ా య ి | క న ు క | ఫ ్ ల ో ర ి డ ా | త న | య ా భ ై | మ ం ద ి | ప ్ ర త ి న ి ధ ు ల న ు | ర ో మ ్ న ీ క ి | ప ్ ర ద ా న ం | చ ే స ి ం ద ి | ర ి ప బ ్ ల ి క న ్ | ప ా ర ్ ట ీ | న ా మ ి న ే ష న ్ క ు | ఫ ్ ర ం ట ్ | ర న ్ న ర ్ గ ా | అ త న ి న ి | మ ు ం ద ు క ు | న ె ట ్ ట ి ం ద ి |	354240	FEMALE
1234	10548620808804880009.wav	లిగ్గిన్స్ తన తండ్రి అడుగుజాడల్లోనే అనుసరించి వైద్య వృత్తిలో ప్రవేశించాడు.	లిగ్గిన్స్ తన తండ్రి అడుగుజాడల్లోనే అనుసరించి వైద్య వృత్తిలో ప్రవేశించాడు	ల ి గ ్ గ ి న ్ స ్ | త న | త ం డ ్ ర ి | అ డ ు గ ు జ ా డ ల ్ ల ో న ే | అ న ు స ర ి ం చ ి | వ ై ద ్ య | వ ృ త ్ త ి ల ో | ప ్ ర వ ే శ ి ం చ ా డ ు |	126720	FEMALE
1113	1543807169523633021.wav	అధికారులు ఓటరు గుర్తింపును ధ్రువీకరించిన తర్వాత ఓటరు ఆ కవరును బ్యాలెట్ బాక్సులో వేసి ఓటింగ్ రోల్ పై సంతకం చేస్తారు.	అధికారులు ఓటరు గుర్తింపును ధ్రువీకరించిన తర్వాత ఓటరు ఆ కవరును బ్యాలెట్ బాక్సులో వేసి ఓటింగ్ రోల్ పై సంతకం చేస్తారు	అ ధ ి క ా ర ు ల ు | ఓ ట ర ు | గ ు ర ్ త ి ం ప ు న ు | ధ ్ ర ు వ ీ క ర ి ం చ ి న | త ర ్ వ ా త | ఓ ట ర ు | ఆ | క వ ర ు న ు | బ ్ య ా ల ె ట ్ | బ ా క ్ స ు ల ో | వ ే స ి | ఓ ట ి ం గ ్ | ర ో ల ్ | ప ై | స ం త క ం | చ ే స ్ త ా ర ు |	201600	FEMALE
169	7149647413592883019.wav	ప్రజల భద్రతను కాపాడేందుకు చర్యలు తీసుకుంటున్నట్లు ఆ అధికారులతో కలిసి ఆయన టెక్సాస్ పౌరులకు హామీ ఇచ్చారు.	ప్రజల భద్రతను కాపాడేందుకు చర్యలు తీసుకుంటున్నట్లు ఆ అధికారులతో కలిసి ఆయన టెక్సాస్ పౌరులకు హామీ ఇచ్చారు	ప ్ ర జ ల | భ ద ్ ర త న ు | క ా ప ా డ ే ం ద ు క ు | చ ర ్ య ల ు | త ీ స ు క ు ం ట ు న ్ న ట ్ ల ు | ఆ | అ ధ ి క ా ర ు ల త ో | క ల ి స ి | ఆ య న | ట ె క ్ స ా స ్ | ప ౌ ర ు ల క ు | హ ా మ ీ | ఇ చ ్ చ ా ర ు |	167040	FEMALE
